PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,PLAYER_HEIGHT,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,COLLEGE,COUNTRY,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER,GP,PTS,REB,AST,NET_RATING,OREB_PCT,DREB_PCT,USG_PCT,TS_PCT,AST_PCT
202699,Tobias Harris,1610612765,DET,32.0,6-8,80,226,Tennessee,USA,2011,1,19,69,954,419,154,4.9,0.029,0.155,0.172,0.565,0.094
1628396,Tony Bradley,1610612754,IND,27.0,6-11,83,248,North Carolina,USA,2017,1,28,8,29,15,3,10.4,0.163,0.174,0.197,0.768,0.094
1628470,Torrey Craig,1610612738,BOS,34.0,6-5,77,221,South Carolina Upstate,USA,Undrafted,Undrafted,Undrafted,21,101,47,9,-6.1,0.079,0.124,0.152,0.645,0.06
1641787,Tosan Evbuomwan,1610612751,BKN,24.0,6-7,79,217,Princeton,United Kingdom,Undrafted,Undrafted,Undrafted,22,202,88,36,-1.7,0.047,0.12,0.18,0.528,0.11
1641739,Toumani Camara,1610612757,POR,24.0,6-7,79,229,Dayton,Belgium,2023,2,52,71,780,411,156,-2.6,0.065,0.11,0.141,0.567,0.093
1629027,Trae Young,1610612737,ATL,26.0,6-1,73,164,Oklahoma,USA,2018,1,5,68,1641,214,777,0.4,0.012,0.073,0.286,0.566,0.447
1631218,Trayce Jackson-Davis,1610612744,GSW,25.0,6-9,81,245,Indiana,USA,2023,2,57,56,382,296,100,-4.4,0.111,0.191,0.162,0.583,0.164
1630200,Tre Jones,1610612741,CHI,25.0,6-1,73,185,Duke,USA,2020,2,41,46,330,116,192,-1.5,0.032,0.086,0.136,0.617,0.289
1630544,Tre Mann,1610612766,CHA,24.0,6-3,75,178,Florida,USA,2021,1,18,13,183,38,39,-7.3,0.034,0.079,0.25,0.537,0.219
1630570,Trendon Watford,1610612751,BKN,24.0,6-8,80,237,Louisiana State,USA,Undrafted,Undrafted,Undrafted,36,348,120,88,-4.7,0.035,0.129,0.224,0.551,0.215
1642280,Trentyn Flowers,1610612746,LAC,20.0,6-9,81,185,None,USA,Undrafted,Undrafted,Undrafted,2,9,4,0,31.9,0.071,0.15,0.25,0.477,0.0
1630243,Trevelin Queen,1610612753,ORL,28.0,6-5,77,190,New Mexico State,USA,Undrafted,Undrafted,Undrafted,28,121,45,33,-11.3,0.052,0.067,0.172,0.447,0.136
1641725,Trey Alexander,1610612743,DEN,21.0,6-4,76,185,Creighton,USA,Undrafted,Undrafted,Undrafted,21,23,9,10,-5.0,0.0,0.093,0.152,0.374,0.159
1641998,Trey Jemison III,1610612747,LAL,25.0,6-11,83,270,Alabama-Birmingham,USA,Undrafted,Undrafted,Undrafted,33,88,92,14,-1.2,0.11,0.138,0.122,0.526,0.056
1626168,Trey Lyles,1610612758,SAC,29.0,6-9,81,234,Kentucky,Canada,2015,1,12,60,380,270,71,-2.4,0.057,0.184,0.144,0.543,0.091
1630530,Trey Murphy III,1610612740,NOP,24.0,6-8,80,206,Virginia,USA,2021,1,17,53,1124,268,188,-9.7,0.024,0.117,0.229,0.598,0.157
202684,Tristan Thompson,1610612739,CLE,34.0,6-9,81,254,Texas-Austin,Canada,2011,1,4,38,59,102,23,-10.3,0.089,0.252,0.124,0.43,0.128
1641774,Tristan Vukcevic,1610612764,WAS,22.0,7-0,84,220,None,Italy,2023,2,42,28,215,91,28,-10.0,0.05,0.19,0.244,0.599,0.141
1641783,Tristan da Silva,1610612753,ORL,23.0,6-8,80,217,Colorado,Germany,2024,1,18,69,497,230,102,-3.4,0.042,0.114,0.147,0.526,0.101
1641803,Tristen Newton,1610612750,MIN,23.0,6-5,77,190,Connecticut,USA,2024,2,49,8,3,4,2,-14.2,0.071,0.111,0.185,0.178,0.182
1629660,Ty Jerome,1610612739,CLE,27.0,6-5,77,195,Virginia,USA,2019,1,24,67,816,167,224,10.0,0.036,0.084,0.227,0.636,0.239
1631102,TyTy Washington Jr.,1610612756,PHX,23.0,6-3,75,195,Kentucky,USA,2022,1,29,13,31,12,15,0.8,0.035,0.073,0.183,0.38,0.205
1629639,Tyler Herro,1610612748,MIA,25.0,6-5,77,195,Kentucky,USA,2019,1,13,70,1651,363,389,-0.4,0.011,0.133,0.269,0.599,0.257
1642278,Tyler Kolek,1610612752,NYK,24.0,6-3,75,195,Marquette,USA,2024,2,34,37,68,18,53,-2.2,0.017,0.055,0.146,0.48,0.308
1641890,Tyler Smith,1610612749,MIL,20.0,6-9,81,224,None,USA,2024,2,33,20,47,20,4,9.8,0.042,0.165,0.208,0.577,0.082
1630169,Tyrese Haliburton,1610612754,IND,25.0,6-5,77,185,Iowa State,USA,2020,1,12,66,1230,233,608,3.6,0.017,0.087,0.211,0.612,0.38
1631213,Tyrese Martin,1610612751,BKN,26.0,6-6,78,215,Connecticut,USA,2022,2,51,55,463,199,105,-11.1,0.039,0.135,0.176,0.527,0.143
1630178,Tyrese Maxey,1610612755,PHI,24.0,6-2,74,200,Kentucky,USA,2020,1,21,52,1369,174,317,-3.5,0.007,0.087,0.293,0.562,0.276
1630623,Tyson Etienne,1610612751,BKN,25.0,6-2,74,200,Wichita State,USA,Undrafted,Undrafted,Undrafted,1,8,0,1,-4.9,0.0,0.0,0.259,0.571,0.333
1626145,Tyus Jones,1610612756,PHX,28.0,6-1,73,196,Duke,USA,2015,1,24,73,756,179,405,-1.7,0.02,0.066,0.157,0.589,0.278
1642279,Ulrich Chomche,1610612761,TOR,19.0,6-11,83,235,None,Cameroon,2024,2,57,7,5,8,2,-43.4,0.129,0.182,0.108,0.425,0.111
203995,Vasilije Micić,1610612756,PHX,31.0,6-3,75,188,None,Serbia,2014,2,52,39,269,89,127,-7.2,0.023,0.086,0.202,0.462,0.261
1641705,Victor Wembanyama,1610612759,SAS,21.0,7-3,87,235,None,France,2023,1,1,46,1116,506,168,2.5,0.054,0.255,0.3,0.594,0.184
1631246,Vince Williams Jr.,1610612763,MEM,24.0,6-4,76,205,Virginia Commonwealth,USA,2022,2,47,21,147,75,43,0.6,0.041,0.144,0.174,0.498,0.145
1628427,Vlatko Čančar,1610612743,DEN,27.0,6-8,80,236,None,Slovenia,2017,2,49,11,16,29,7,-0.4,0.048,0.189,0.1,0.421,0.093
1630249,Vít Krejčí,1610612737,ATL,24.0,6-8,80,195,None,Czech Republic,2020,2,37,48,333,126,129,-2.9,0.016,0.111,0.133,0.613,0.181
1631117,Walker Kessler,1610612762,UTA,23.0,7-0,84,245,Auburn,USA,2022,1,22,57,630,695,96,-8.4,0.145,0.234,0.132,0.665,0.083
