date,visitor,v_pts,home,h_pts,home_win
Sat Mar 9 2024,Utah Jazz,121,Denver Nuggets,142,1
Sat Mar 9 2024,Toronto Raptors,118,Portland Trail Blazers,128,1
Sun Mar 10 2024,Milwaukee Bucks,124,Los Angeles Clippers,117,0
Sun Mar 10 2024,New Orleans Pelicans,116,Atlanta Hawks,103,0
Sun Mar 10 2024,Washington Wizards,110,Miami Heat,108,0
Sun Mar 10 2024,Indiana Pacers,111,Orlando Magic,97,0
Sun Mar 10 2024,Houston Rockets,112,Sacramento Kings,104,0
Sun Mar 10 2024,Brooklyn Nets,120,Cleveland Cavaliers,101,0
Sun Mar 10 2024,Philadelphia 76ers,79,New York Knicks,73,0
Sun Mar 10 2024,Memphis Grizzlies,93,Oklahoma City Thunder,124,1
Sun Mar 10 2024,Minnesota Timberwolves,109,Los Angeles Lakers,120,1
Mon Mar 11 2024,Charlotte Hornets,97,Detroit Pistons,114,1
Mon Mar 11 2024,Phoenix Suns,117,Cleveland Cavaliers,111,0
Mon Mar 11 2024,Dallas Mavericks,127,Chicago Bulls,92,0
Mon Mar 11 2024,Golden State Warriors,112,San Antonio Spurs,102,0
Mon Mar 11 2024,Toronto Raptors,119,Denver Nuggets,125,1
Mon Mar 11 2024,Boston Celtics,121,Portland Trail Blazers,99,0
Tue Mar 12 2024,Philadelphia 76ers,79,New York Knicks,106,1
Tue Mar 12 2024,Washington Wizards,97,Memphis Grizzlies,109,1
Tue Mar 12 2024,Indiana Pacers,121,Oklahoma City Thunder,111,0
Tue Mar 12 2024,Houston Rockets,103,San Antonio Spurs,101,0
Tue Mar 12 2024,Boston Celtics,123,Utah Jazz,107,0
Tue Mar 12 2024,Minnesota Timberwolves,118,Los Angeles Clippers,100,0
Tue Mar 12 2024,Milwaukee Bucks,94,Sacramento Kings,129,1
Wed Mar 13 2024,Toronto Raptors,104,Detroit Pistons,113,1
Wed Mar 13 2024,Brooklyn Nets,106,Orlando Magic,114,1
Wed Mar 13 2024,Chicago Bulls,132,Indiana Pacers,129,0
Wed Mar 13 2024,Denver Nuggets,100,Miami Heat,88,0
Wed Mar 13 2024,Charlotte Hornets,110,Memphis Grizzlies,98,0
Wed Mar 13 2024,Cleveland Cavaliers,116,New Orleans Pelicans,95,0
Wed Mar 13 2024,Golden State Warriors,99,Dallas Mavericks,109,1
Wed Mar 13 2024,Atlanta Hawks,102,Portland Trail Blazers,106,1
Wed Mar 13 2024,Los Angeles Lakers,107,Sacramento Kings,120,1
Thu Mar 14 2024,Phoenix Suns,112,Boston Celtics,127,1
Thu Mar 14 2024,Los Angeles Clippers,126,Chicago Bulls,111,0
Thu Mar 14 2024,Washington Wizards,119,Houston Rockets,135,1
Thu Mar 14 2024,Philadelphia 76ers,105,Milwaukee Bucks,114,1
Thu Mar 14 2024,Dallas Mavericks,119,Oklahoma City Thunder,126,1
Thu Mar 14 2024,New York Knicks,105,Portland Trail Blazers,93,0
Fri Mar 15 2024,Phoenix Suns,107,Charlotte Hornets,96,0
Fri Mar 15 2024,Miami Heat,108,Detroit Pistons,95,0
Fri Mar 15 2024,Orlando Magic,113,Toronto Raptors,103,0
Fri Mar 15 2024,Los Angeles Clippers,104,New Orleans Pelicans,112,1
Fri Mar 15 2024,Denver Nuggets,117,San Antonio Spurs,106,0
Fri Mar 15 2024,Atlanta Hawks,122,Utah Jazz,124,1
Sat Mar 16 2024,Cleveland Cavaliers,103,Houston Rockets,117,1
Sat Mar 16 2024,Brooklyn Nets,100,Indiana Pacers,121,1
Sat Mar 16 2024,Portland Trail Blazers,107,New Orleans Pelicans,126,1
Sat Mar 16 2024,Charlotte Hornets,98,Philadelphia 76ers,109,1
Sat Mar 16 2024,Washington Wizards,98,Chicago Bulls,127,1
Sat Mar 16 2024,Oklahoma City Thunder,118,Memphis Grizzlies,112,0
Sat Mar 16 2024,Golden State Warriors,128,Los Angeles Lakers,121,0
Sat Mar 16 2024,Minnesota Timberwolves,119,Utah Jazz,100,0
Sat Mar 16 2024,New York Knicks,98,Sacramento Kings,91,0
Sun Mar 17 2024,Phoenix Suns,129,Milwaukee Bucks,140,1
Sun Mar 17 2024,Miami Heat,104,Detroit Pistons,101,0
Sun Mar 17 2024,Denver Nuggets,105,Dallas Mavericks,107,1
Sun Mar 17 2024,Toronto Raptors,96,Orlando Magic,111,1
Sun Mar 17 2024,Boston Celtics,130,Washington Wizards,104,0
Sun Mar 17 2024,Brooklyn Nets,115,San Antonio Spurs,122,1
Sun Mar 17 2024,Atlanta Hawks,110,Los Angeles Clippers,93,0
Mon Mar 18 2024,Cleveland Cavaliers,108,Indiana Pacers,103,0
Mon Mar 18 2024,Detroit Pistons,94,Boston Celtics,119,1
Mon Mar 18 2024,Miami Heat,91,Philadelphia 76ers,98,1
Mon Mar 18 2024,Portland Trail Blazers,107,Chicago Bulls,110,1
Mon Mar 18 2024,Minnesota Timberwolves,114,Utah Jazz,104,0
Mon Mar 18 2024,New York Knicks,119,Golden State Warriors,112,0
Mon Mar 18 2024,Memphis Grizzlies,111,Sacramento Kings,121,1
Mon Mar 18 2024,Atlanta Hawks,105,Los Angeles Lakers,136,1
Tue Mar 19 2024,Charlotte Hornets,92,Orlando Magic,112,1
Tue Mar 19 2024,Houston Rockets,137,Washington Wizards,114,0
Tue Mar 19 2024,New Orleans Pelicans,104,Brooklyn Nets,91,0
Tue Mar 19 2024,Dallas Mavericks,113,San Antonio Spurs,107,0
Tue Mar 19 2024,Denver Nuggets,115,Minnesota Timberwolves,112,0
Wed Mar 20 2024,Miami Heat,107,Cleveland Cavaliers,104,0
Wed Mar 20 2024,Indiana Pacers,122,Detroit Pistons,103,0
Wed Mar 20 2024,Milwaukee Bucks,119,Boston Celtics,122,1
Wed Mar 20 2024,Sacramento Kings,123,Toronto Raptors,89,0
Wed Mar 20 2024,Utah Jazz,107,Oklahoma City Thunder,119,1
Wed Mar 20 2024,Memphis Grizzlies,116,Golden State Warriors,137,1
Wed Mar 20 2024,Philadelphia 76ers,102,Phoenix Suns,115,1
Wed Mar 20 2024,Los Angeles Clippers,116,Portland Trail Blazers,103,0
Thu Mar 21 2024,New Orleans Pelicans,106,Orlando Magic,121,1
Thu Mar 21 2024,Sacramento Kings,102,Washington Wizards,109,1
Thu Mar 21 2024,Chicago Bulls,117,Houston Rockets,127,1
Thu Mar 21 2024,Brooklyn Nets,108,Milwaukee Bucks,115,1
Thu Mar 21 2024,Utah Jazz,97,Dallas Mavericks,113,1
Thu Mar 21 2024,New York Knicks,100,Denver Nuggets,113,1
Thu Mar 21 2024,Atlanta Hawks,115,Phoenix Suns,128,1
Fri Mar 22 2024,Boston Celtics,129,Detroit Pistons,102,0
Fri Mar 22 2024,Oklahoma City Thunder,123,Toronto Raptors,103,0
Fri Mar 22 2024,New Orleans Pelicans,111,Miami Heat,88,0
Fri Mar 22 2024,Cleveland Cavaliers,91,Minnesota Timberwolves,104,1
Fri Mar 22 2024,Memphis Grizzlies,99,San Antonio Spurs,97,0
Fri Mar 22 2024,Indiana Pacers,123,Golden State Warriors,111,0
Fri Mar 22 2024,Los Angeles Clippers,125,Portland Trail Blazers,117,0
Fri Mar 22 2024,Philadelphia 76ers,94,Los Angeles Lakers,101,1
Sat Mar 23 2024,Brooklyn Nets,93,New York Knicks,105,1
Sat Mar 23 2024,Sacramento Kings,109,Orlando Magic,107,0
Sat Mar 23 2024,Charlotte Hornets,91,Atlanta Hawks,132,1
Sat Mar 23 2024,Boston Celtics,124,Chicago Bulls,113,0
Sat Mar 23 2024,Utah Jazz,119,Houston Rockets,147,1
Sat Mar 23 2024,Phoenix Suns,131,San Antonio Spurs,106,0
Sat Mar 23 2024,Toronto Raptors,109,Washington Wizards,112,1
Sat Mar 23 2024,Denver Nuggets,114,Portland Trail Blazers,111,0
Sun Mar 24 2024,New Orleans Pelicans,114,Detroit Pistons,101,0
Sun Mar 24 2024,Philadelphia 76ers,121,Los Angeles Clippers,107,0
Sun Mar 24 2024,Cleveland Cavaliers,84,Miami Heat,121,1
Sun Mar 24 2024,Oklahoma City Thunder,93,Milwaukee Bucks,118,1
Sun Mar 24 2024,Golden State Warriors,110,Minnesota Timberwolves,114,1
Sun Mar 24 2024,Indiana Pacers,145,Los Angeles Lakers,150,1
Mon Mar 25 2024,Charlotte Hornets,92,Cleveland Cavaliers,115,1
Mon Mar 25 2024,Boston Celtics,118,Atlanta Hawks,120,1
Mon Mar 25 2024,Detroit Pistons,99,New York Knicks,124,1
Mon Mar 25 2024,Brooklyn Nets,96,Toronto Raptors,88,0
Mon Mar 25 2024,Washington Wizards,107,Chicago Bulls,105,0
Mon Mar 25 2024,Portland Trail Blazers,92,Houston Rockets,110,1
Mon Mar 25 2024,Phoenix Suns,102,San Antonio Spurs,104,1
Mon Mar 25 2024,Memphis Grizzlies,103,Denver Nuggets,128,1
Mon Mar 25 2024,Dallas Mavericks,115,Utah Jazz,105,0
Mon Mar 25 2024,Philadelphia 76ers,96,Sacramento Kings,108,1
Mon Mar 25 2024,Indiana Pacers,133,Los Angeles Clippers,116,0
Tue Mar 26 2024,Golden State Warriors,113,Miami Heat,92,0
Tue Mar 26 2024,Los Angeles Lakers,128,Milwaukee Bucks,124,0
Tue Mar 26 2024,Oklahoma City Thunder,119,New Orleans Pelicans,112,0
Tue Mar 26 2024,Dallas Mavericks,132,Sacramento Kings,96,0
Wed Mar 27 2024,Cleveland Cavaliers,111,Charlotte Hornets,118,1
Wed Mar 27 2024,Golden State Warriors,101,Orlando Magic,93,0
Wed Mar 27 2024,Brooklyn Nets,122,Washington Wizards,119,0
Wed Mar 27 2024,Portland Trail Blazers,106,Atlanta Hawks,120,1
Wed Mar 27 2024,Los Angeles Clippers,108,Philadelphia 76ers,107,0
Wed Mar 27 2024,New York Knicks,145,Toronto Raptors,101,0
Wed Mar 27 2024,Indiana Pacers,99,Chicago Bulls,125,1
Wed Mar 27 2024,Los Angeles Lakers,136,Memphis Grizzlies,124,0
Wed Mar 27 2024,Detroit Pistons,91,Minnesota Timberwolves,106,1
Wed Mar 27 2024,Houston Rockets,132,Oklahoma City Thunder,126,0
Wed Mar 27 2024,San Antonio Spurs,118,Utah Jazz,111,0
Wed Mar 27 2024,Phoenix Suns,104,Denver Nuggets,97,0
Thu Mar 28 2024,Boston Celtics,122,Atlanta Hawks,123,1
Thu Mar 28 2024,Milwaukee Bucks,100,New Orleans Pelicans,107,1
Fri Mar 29 2024,Golden State Warriors,115,Charlotte Hornets,97,0
Fri Mar 29 2024,Los Angeles Lakers,90,Indiana Pacers,109,1
Fri Mar 29 2024,Los Angeles Clippers,100,Orlando Magic,97,0
Fri Mar 29 2024,Detroit Pistons,96,Washington Wizards,87,0
Fri Mar 29 2024,Chicago Bulls,108,Brooklyn Nets,125,1
Fri Mar 29 2024,Philadelphia 76ers,114,Cleveland Cavaliers,117,1
Fri Mar 29 2024,Portland Trail Blazers,82,Miami Heat,142,1
Fri Mar 29 2024,Phoenix Suns,103,Oklahoma City Thunder,128,1
Fri Mar 29 2024,New York Knicks,126,San Antonio Spurs,130,1
Fri Mar 29 2024,Minnesota Timberwolves,111,Denver Nuggets,98,0
Fri Mar 29 2024,Houston Rockets,101,Utah Jazz,100,0
Fri Mar 29 2024,Dallas Mavericks,107,Sacramento Kings,103,0
Sat Mar 30 2024,Boston Celtics,104,New Orleans Pelicans,92,0
Sat Mar 30 2024,Memphis Grizzlies,88,Orlando Magic,118,1
Sat Mar 30 2024,Milwaukee Bucks,122,Atlanta Hawks,113,0
Sun Mar 31 2024,Cleveland Cavaliers,101,Denver Nuggets,130,1
Sun Mar 31 2024,Los Angeles Lakers,116,Brooklyn Nets,104,0
Sun Mar 31 2024,Los Angeles Clippers,130,Charlotte Hornets,118,0
Sun Mar 31 2024,Philadelphia 76ers,135,Toronto Raptors,120,0
Sun Mar 31 2024,Miami Heat,119,Washington Wizards,107,0
Sun Mar 31 2024,Dallas Mavericks,125,Houston Rockets,107,0
Sun Mar 31 2024,Chicago Bulls,109,Minnesota Timberwolves,101,0
Sun Mar 31 2024,Oklahoma City Thunder,113,New York Knicks,112,0
Sun Mar 31 2024,Golden State Warriors,117,San Antonio Spurs,113,0
Sun Mar 31 2024,Utah Jazz,106,Sacramento Kings,127,1
Mon Apr 1 2024,Boston Celtics,118,Charlotte Hornets,104,0
Mon Apr 1 2024,Memphis Grizzlies,110,Detroit Pistons,108,0
Mon Apr 1 2024,Brooklyn Nets,111,Indiana Pacers,133,1
Mon Apr 1 2024,Portland Trail Blazers,103,Orlando Magic,104,1
Mon Apr 1 2024,Atlanta Hawks,113,Chicago Bulls,101,0
Mon Apr 1 2024,Phoenix Suns,124,New Orleans Pelicans,111,0
Tue Apr 2 2024,Los Angeles Lakers,128,Toronto Raptors,111,0
Tue Apr 2 2024,Milwaukee Bucks,113,Washington Wizards,117,1
Tue Apr 2 2024,New York Knicks,99,Miami Heat,109,1
Tue Apr 2 2024,Oklahoma City Thunder,105,Philadelphia 76ers,109,1
Tue Apr 2 2024,Houston Rockets,106,Minnesota Timberwolves,113,1
Tue Apr 2 2024,San Antonio Spurs,105,Denver Nuggets,110,1
Tue Apr 2 2024,Cleveland Cavaliers,129,Utah Jazz,113,0
Tue Apr 2 2024,Dallas Mavericks,100,Golden State Warriors,104,1
Tue Apr 2 2024,Los Angeles Clippers,95,Sacramento Kings,109,1
Wed Apr 3 2024,Portland Trail Blazers,89,Charlotte Hornets,86,0
Wed Apr 3 2024,Los Angeles Lakers,125,Washington Wizards,120,0
Wed Apr 3 2024,Detroit Pistons,113,Atlanta Hawks,121,1
Wed Apr 3 2024,Oklahoma City Thunder,100,Boston Celtics,135,1
Wed Apr 3 2024,Indiana Pacers,111,Brooklyn Nets,115,1
Wed Apr 3 2024,Memphis Grizzlies,111,Milwaukee Bucks,101,0
Wed Apr 3 2024,Toronto Raptors,85,Minnesota Timberwolves,133,1
Wed Apr 3 2024,Orlando Magic,117,New Orleans Pelicans,108,0
Wed Apr 3 2024,Cleveland Cavaliers,101,Phoenix Suns,122,1
Thu Apr 4 2024,Atlanta Hawks,95,Dallas Mavericks,109,1
Thu Apr 4 2024,Philadelphia 76ers,109,Miami Heat,105,0
Thu Apr 4 2024,Sacramento Kings,109,New York Knicks,120,1
Thu Apr 4 2024,Golden State Warriors,133,Houston Rockets,110,0
Thu Apr 4 2024,Denver Nuggets,100,Los Angeles Clippers,102,1
Fri Apr 5 2024,Orlando Magic,115,Charlotte Hornets,124,1
Fri Apr 5 2024,Oklahoma City Thunder,112,Indiana Pacers,126,1
Fri Apr 5 2024,Portland Trail Blazers,108,Washington Wizards,102,0
Fri Apr 5 2024,Sacramento Kings,100,Boston Celtics,101,1
Fri Apr 5 2024,New York Knicks,100,Chicago Bulls,108,1
Fri Apr 5 2024,Miami Heat,119,Houston Rockets,104,0
Fri Apr 5 2024,Detroit Pistons,90,Memphis Grizzlies,108,1
Fri Apr 5 2024,Toronto Raptors,117,Milwaukee Bucks,111,0
Fri Apr 5 2024,San Antonio Spurs,111,New Orleans Pelicans,109,0
Fri Apr 5 2024,Golden State Warriors,106,Dallas Mavericks,108,1
Fri Apr 5 2024,Minnesota Timberwolves,87,Phoenix Suns,97,1
Fri Apr 5 2024,Utah Jazz,102,Los Angeles Clippers,131,1
Sat Apr 6 2024,Cleveland Cavaliers,97,Los Angeles Lakers,116,1
Sat Apr 6 2024,Detroit Pistons,103,Brooklyn Nets,113,1
Sat Apr 6 2024,Philadelphia 76ers,116,Memphis Grizzlies,96,0
Sat Apr 6 2024,Atlanta Hawks,110,Denver Nuggets,142,1
Sun Apr 7 2024,Houston Rockets,136,Dallas Mavericks,147,1
Sun Apr 7 2024,Cleveland Cavaliers,118,Los Angeles Clippers,120,1
Sun Apr 7 2024,Miami Heat,115,Indiana Pacers,117,1
Sun Apr 7 2024,Portland Trail Blazers,107,Boston Celtics,124,1
Sun Apr 7 2024,Oklahoma City Thunder,121,Charlotte Hornets,118,0
Sun Apr 7 2024,Chicago Bulls,98,Orlando Magic,113,1
Sun Apr 7 2024,New Orleans Pelicans,113,Phoenix Suns,105,0
Sun Apr 7 2024,Washington Wizards,122,Toronto Raptors,130,1
Sun Apr 7 2024,New York Knicks,122,Milwaukee Bucks,109,0
Sun Apr 7 2024,Philadelphia 76ers,133,San Antonio Spurs,126,0
Sun Apr 7 2024,Sacramento Kings,107,Brooklyn Nets,77,0
Sun Apr 7 2024,Utah Jazz,110,Golden State Warriors,118,1
Sun Apr 7 2024,Minnesota Timberwolves,127,Los Angeles Lakers,117,0
Tue Apr 9 2024,Dallas Mavericks,130,Charlotte Hornets,104,0
Tue Apr 9 2024,Detroit Pistons,102,Philadelphia 76ers,120,1
Tue Apr 9 2024,Indiana Pacers,140,Toronto Raptors,123,0
Tue Apr 9 2024,Miami Heat,117,Atlanta Hawks,111,0
Tue Apr 9 2024,Boston Celtics,91,Milwaukee Bucks,104,1
Tue Apr 9 2024,New York Knicks,128,Chicago Bulls,117,0
Tue Apr 9 2024,Orlando Magic,106,Houston Rockets,118,1
Tue Apr 9 2024,San Antonio Spurs,102,Memphis Grizzlies,87,0
Tue Apr 9 2024,Washington Wizards,121,Minnesota Timberwolves,130,1
Tue Apr 9 2024,Sacramento Kings,105,Oklahoma City Thunder,112,1
Tue Apr 9 2024,Denver Nuggets,111,Utah Jazz,95,0
Tue Apr 9 2024,Golden State Warriors,134,Los Angeles Lakers,120,0
Tue Apr 9 2024,Los Angeles Clippers,105,Phoenix Suns,92,0
Tue Apr 9 2024,New Orleans Pelicans,110,Portland Trail Blazers,100,0
Wed Apr 10 2024,Memphis Grizzlies,98,Cleveland Cavaliers,110,1
Wed Apr 10 2024,Charlotte Hornets,115,Atlanta Hawks,114,0
Wed Apr 10 2024,Toronto Raptors,102,Brooklyn Nets,106,1
Wed Apr 10 2024,Dallas Mavericks,111,Miami Heat,92,0
Wed Apr 10 2024,Orlando Magic,99,Milwaukee Bucks,117,1
Wed Apr 10 2024,San Antonio Spurs,89,Oklahoma City Thunder,127,1
Wed Apr 10 2024,Minnesota Timberwolves,107,Denver Nuggets,116,1
Wed Apr 10 2024,Phoenix Suns,124,Los Angeles Clippers,108,0
Thu Apr 11 2024,Chicago Bulls,127,Detroit Pistons,105,0
Thu Apr 11 2024,New York Knicks,118,Boston Celtics,109,0
Thu Apr 11 2024,Houston Rockets,121,Utah Jazz,124,1
Thu Apr 11 2024,Golden State Warriors,100,Portland Trail Blazers,92,0
Thu Apr 11 2024,New Orleans Pelicans,135,Sacramento Kings,123,0
Fri Apr 12 2024,Orlando Magic,113,Philadelphia 76ers,125,1
Fri Apr 12 2024,Chicago Bulls,129,Washington Wizards,127,0
Fri Apr 12 2024,Charlotte Hornets,98,Boston Celtics,131,1
Fri Apr 12 2024,Indiana Pacers,120,Cleveland Cavaliers,129,1
Fri Apr 12 2024,Brooklyn Nets,107,New York Knicks,111,1
Fri Apr 12 2024,Los Angeles Lakers,123,Memphis Grizzlies,120,0
Fri Apr 12 2024,Toronto Raptors,103,Miami Heat,125,1
Fri Apr 12 2024,Atlanta Hawks,106,Minnesota Timberwolves,109,1
Fri Apr 12 2024,Milwaukee Bucks,107,Oklahoma City Thunder,125,1
Fri Apr 12 2024,Denver Nuggets,120,San Antonio Spurs,121,1
Fri Apr 12 2024,Detroit Pistons,107,Dallas Mavericks,89,0
Fri Apr 12 2024,New Orleans Pelicans,114,Golden State Warriors,109,0
Fri Apr 12 2024,Houston Rockets,116,Portland Trail Blazers,107,0
Fri Apr 12 2024,Utah Jazz,110,Los Angeles Clippers,109,0
Fri Apr 12 2024,Phoenix Suns,108,Sacramento Kings,107,0
Sun Apr 14 2024,Washington Wizards,122,Boston Celtics,132,1
Sun Apr 14 2024,Charlotte Hornets,120,Cleveland Cavaliers,110,0
Sun Apr 14 2024,Atlanta Hawks,115,Indiana Pacers,157,1
Sun Apr 14 2024,Toronto Raptors,103,Miami Heat,118,1
Sun Apr 14 2024,Chicago Bulls,119,New York Knicks,120,1
Sun Apr 14 2024,Milwaukee Bucks,88,Orlando Magic,113,1
Sun Apr 14 2024,Brooklyn Nets,86,Philadelphia 76ers,107,1
Sun Apr 14 2024,Utah Jazz,116,Golden State Warriors,123,1
Sun Apr 14 2024,Houston Rockets,116,Los Angeles Clippers,105,0
Sun Apr 14 2024,Denver Nuggets,126,Memphis Grizzlies,111,0
Sun Apr 14 2024,Phoenix Suns,125,Minnesota Timberwolves,106,0
Sun Apr 14 2024,Los Angeles Lakers,124,New Orleans Pelicans,108,0
Sun Apr 14 2024,Dallas Mavericks,86,Oklahoma City Thunder,135,1
Sun Apr 14 2024,Portland Trail Blazers,82,Sacramento Kings,121,1
Sun Apr 14 2024,Detroit Pistons,95,San Antonio Spurs,123,1
Tue Apr 16 2024,Los Angeles Lakers,110,New Orleans Pelicans,106,0
Tue Apr 16 2024,Golden State Warriors,94,Sacramento Kings,118,1
Wed Apr 17 2024,Miami Heat,104,Philadelphia 76ers,105,1
Wed Apr 17 2024,Atlanta Hawks,116,Chicago Bulls,131,1
Fri Apr 19 2024,Chicago Bulls,91,Miami Heat,112,1
Fri Apr 19 2024,Sacramento Kings,98,New Orleans Pelicans,105,1
Sat Apr 20 2024,Orlando Magic,83,Cleveland Cavaliers,97,1
Sat Apr 20 2024,Phoenix Suns,95,Minnesota Timberwolves,120,1
Sat Apr 20 2024,Philadelphia 76ers,104,New York Knicks,111,1
Sat Apr 20 2024,Los Angeles Lakers,103,Denver Nuggets,114,1
Sun Apr 21 2024,Miami Heat,94,Boston Celtics,114,1
Sun Apr 21 2024,Dallas Mavericks,97,Los Angeles Clippers,109,1
Sun Apr 21 2024,Indiana Pacers,94,Milwaukee Bucks,109,1
Sun Apr 21 2024,New Orleans Pelicans,92,Oklahoma City Thunder,94,1
Mon Apr 22 2024,Orlando Magic,86,Cleveland Cavaliers,96,1
Mon Apr 22 2024,Philadelphia 76ers,101,New York Knicks,104,1
Mon Apr 22 2024,Los Angeles Lakers,99,Denver Nuggets,101,1
Tue Apr 23 2024,Phoenix Suns,93,Minnesota Timberwolves,105,1
Tue Apr 23 2024,Indiana Pacers,125,Milwaukee Bucks,108,0
Tue Apr 23 2024,Dallas Mavericks,96,Los Angeles Clippers,93,0
Wed Apr 24 2024,Miami Heat,111,Boston Celtics,101,0
Wed Apr 24 2024,New Orleans Pelicans,92,Oklahoma City Thunder,124,1
Thu Apr 25 2024,Cleveland Cavaliers,83,Orlando Magic,121,1
Thu Apr 25 2024,New York Knicks,114,Philadelphia 76ers,125,1
Thu Apr 25 2024,Denver Nuggets,112,Los Angeles Lakers,105,0
Fri Apr 26 2024,Milwaukee Bucks,118,Indiana Pacers,121,1
Fri Apr 26 2024,Los Angeles Clippers,90,Dallas Mavericks,101,1
Fri Apr 26 2024,Minnesota Timberwolves,126,Phoenix Suns,109,0
Sat Apr 27 2024,Cleveland Cavaliers,89,Orlando Magic,112,1
Sat Apr 27 2024,Oklahoma City Thunder,106,New Orleans Pelicans,85,0
Sat Apr 27 2024,Boston Celtics,104,Miami Heat,84,0
Sat Apr 27 2024,Denver Nuggets,108,Los Angeles Lakers,119,1
Sun Apr 28 2024,New York Knicks,97,Philadelphia 76ers,92,0
Sun Apr 28 2024,Los Angeles Clippers,116,Dallas Mavericks,111,0
Sun Apr 28 2024,Milwaukee Bucks,113,Indiana Pacers,126,1
Sun Apr 28 2024,Minnesota Timberwolves,122,Phoenix Suns,116,0
Mon Apr 29 2024,Boston Celtics,102,Miami Heat,88,0
Mon Apr 29 2024,Oklahoma City Thunder,97,New Orleans Pelicans,89,0
Mon Apr 29 2024,Los Angeles Lakers,106,Denver Nuggets,108,1
Tue Apr 30 2024,Philadelphia 76ers,112,New York Knicks,106,0
Tue Apr 30 2024,Orlando Magic,103,Cleveland Cavaliers,104,1
Tue Apr 30 2024,Indiana Pacers,92,Milwaukee Bucks,115,1
Wed May 1 2024,Miami Heat,84,Boston Celtics,118,1
Wed May 1 2024,Dallas Mavericks,123,Los Angeles Clippers,93,0
Thu May 2 2024,Milwaukee Bucks,98,Indiana Pacers,120,1
Thu May 2 2024,New York Knicks,118,Philadelphia 76ers,115,0
Fri May 3 2024,Cleveland Cavaliers,96,Orlando Magic,103,1
Fri May 3 2024,Los Angeles Clippers,101,Dallas Mavericks,114,1
Sat May 4 2024,Minnesota Timberwolves,106,Denver Nuggets,99,0
Sun May 5 2024,Orlando Magic,94,Cleveland Cavaliers,106,1
Mon May 6 2024,Indiana Pacers,117,New York Knicks,121,1
Mon May 6 2024,Minnesota Timberwolves,106,Denver Nuggets,80,0
Tue May 7 2024,Cleveland Cavaliers,95,Boston Celtics,120,1
Tue May 7 2024,Dallas Mavericks,95,Oklahoma City Thunder,117,1
Wed May 8 2024,Indiana Pacers,121,New York Knicks,130,1
Thu May 9 2024,Cleveland Cavaliers,118,Boston Celtics,94,0
Thu May 9 2024,Dallas Mavericks,119,Oklahoma City Thunder,110,0
Fri May 10 2024,New York Knicks,106,Indiana Pacers,111,1
Fri May 10 2024,Denver Nuggets,117,Minnesota Timberwolves,90,0
Sat May 11 2024,Oklahoma City Thunder,101,Dallas Mavericks,105,1
Sat May 11 2024,Boston Celtics,106,Cleveland Cavaliers,93,0
Sun May 12 2024,New York Knicks,89,Indiana Pacers,121,1
Sun May 12 2024,Denver Nuggets,115,Minnesota Timberwolves,107,0
Mon May 13 2024,Boston Celtics,109,Cleveland Cavaliers,102,0
Mon May 13 2024,Oklahoma City Thunder,100,Dallas Mavericks,96,0
Tue May 14 2024,Indiana Pacers,91,New York Knicks,121,1
Tue May 14 2024,Minnesota Timberwolves,97,Denver Nuggets,112,1
Wed May 15 2024,Cleveland Cavaliers,98,Boston Celtics,113,1
Wed May 15 2024,Dallas Mavericks,104,Oklahoma City Thunder,92,0
Thu May 16 2024,Denver Nuggets,70,Minnesota Timberwolves,115,1
Fri May 17 2024,New York Knicks,103,Indiana Pacers,116,1
Sat May 18 2024,Oklahoma City Thunder,116,Dallas Mavericks,117,1
Sun May 19 2024,Indiana Pacers,130,New York Knicks,109,0
Sun May 19 2024,Minnesota Timberwolves,98,Denver Nuggets,90,0
Tue May 21 2024,Indiana Pacers,128,Boston Celtics,133,1
Wed May 22 2024,Dallas Mavericks,108,Minnesota Timberwolves,105,0
Thu May 23 2024,Indiana Pacers,110,Boston Celtics,126,1
Fri May 24 2024,Dallas Mavericks,109,Minnesota Timberwolves,108,0
Sat May 25 2024,Boston Celtics,114,Indiana Pacers,111,0
Sun May 26 2024,Minnesota Timberwolves,107,Dallas Mavericks,116,1
Mon May 27 2024,Boston Celtics,105,Indiana Pacers,102,0
Tue May 28 2024,Minnesota Timberwolves,105,Dallas Mavericks,100,0
Thu May 30 2024,Dallas Mavericks,124,Minnesota Timberwolves,103,0
Thu Jun 6 2024,Dallas Mavericks,89,Boston Celtics,107,1
Sun Jun 9 2024,Dallas Mavericks,98,Boston Celtics,105,1
Wed Jun 12 2024,Boston Celtics,106,Dallas Mavericks,99,0
Fri Jun 14 2024,Boston Celtics,84,Dallas Mavericks,122,1
Mon Jun 17 2024,Dallas Mavericks,88,Boston Celtics,106,1
