age,player_height_inches,player_weight,team
24.0,78,179.0,Toronto Raptors
25.0,76,190.0,Milwaukee Bucks
20.0,77,160.0,Washington Wizards
29.0,80,235.0,Denver Nuggets
28.0,72,185.0,Houston Rockets
25.0,78,215.0,Indiana Pacers
26.0,77,190.0,Oklahoma City Thunder
25.0,75,180.0,Oklahoma City Thunder
23.0,81,245.0,Chicago Bulls
22.0,82,235.0,Philadelphia 76ers
22.0,77,190.0,Oklahoma City Thunder
38.0,81,240.0,Boston Celtics
33.0,77,214.0,Miami Heat
31.0,77,186.0,Oklahoma City Thunder
24.0,79,220.0,Oklahoma City Thunder
31.0,84,250.0,Los Angeles Lakers
25.0,81,245.0,Philadelphia 76ers
19.0,84,205.0,Washington Wizards
25.0,76,210.0,Detroit Pistons
22.0,83,243.0,Houston Rockets
22.0,79,200.0,Houston Rockets
27.0,79,210.0,Los Angeles Clippers
31.0,83,279.0,Philadelphia 76ers
23.0,78,209.0,Milwaukee Bucks
25.0,76,191.0,Indiana Pacers
30.0,79,197.0,Miami Heat
25.0,75,200.0,Portland Trail Blazers
21.0,79,200.0,Orlando Magic
32.0,82,253.0,Dallas Mavericks
23.0,76,225.0,Minnesota Timberwolves
32.0,80,230.0,Washington Wizards
24.0,80,225.0,New York Knicks
22.0,77,205.0,New Orleans Pelicans
22.0,83,246.0,New York Knicks
22.0,81,245.0,Los Angeles Lakers
22.0,78,205.0,Detroit Pistons
26.0,77,197.0,Los Angeles Lakers
25.0,77,200.0,Chicago Bulls
27.0,81,255.0,Miami Heat
24.0,78,205.0,Boston Celtics
23.0,78,190.0,Indiana Pacers
28.0,82,240.0,Los Angeles Clippers
22.0,77,210.0,Indiana Pacers
20.0,80,195.0,Washington Wizards
32.0,80,255.0,San Antonio Spurs
22.0,75,185.0,San Antonio Spurs
30.0,82,250.0,Milwaukee Bucks
22.0,81,225.0,Detroit Pistons
32.0,77,225.0,Los Angeles Clippers
25.0,87,220.0,Phoenix Suns
24.0,74,169.0,Minnesota Timberwolves
31.0,76,207.0,Phoenix Suns
25.0,84,220.0,Oklahoma City Thunder
22.0,76,205.0,Golden State Warriors
23.0,78,188.0,New Orleans Pelicans
28.0,80,215.0,Memphis Grizzlies
27.0,80,190.0,Toronto Raptors
22.0,79,200.0,Charlotte Hornets
25.0,73,190.0,Dallas Mavericks
21.0,77,235.0,Utah Jazz
20.0,75,210.0,Los Angeles Lakers
36.0,85,282.0,Milwaukee Bucks
28.0,76,202.0,New Orleans Pelicans
26.0,81,240.0,Toronto Raptors
22.0,78,190.0,Portland Trail Blazers
19.0,76,190.0,Washington Wizards
32.0,76,220.0,Golden State Warriors
33.0,75,190.0,New Orleans Pelicans
23.0,78,220.0,Detroit Pistons
22.0,80,205.0,Orlando Magic
29.0,77,205.0,Dallas Mavericks
19.0,78,190.0,Los Angeles Clippers
25.0,79,217.0,Los Angeles Lakers
24.0,76,205.0,Memphis Grizzlies
23.0,75,210.0,Brooklyn Nets
20.0,79,230.0,Houston Rockets
29.0,80,210.0,Brooklyn Nets
30.0,75,183.0,New York Knicks
30.0,78,205.0,Atlanta Hawks
21.0,75,195.0,Oklahoma City Thunder
24.0,82,230.0,San Antonio Spurs
22.0,85,208.0,Oklahoma City Thunder
32.0,81,200.0,Toronto Raptors
27.0,77,190.0,Chicago Bulls
21.0,78,220.0,Milwaukee Bucks
39.0,72,175.0,San Antonio Spurs
23.0,78,220.0,Denver Nuggets
24.0,84,225.0,Los Angeles Lakers
26.0,79,229.0,Philadelphia 76ers
30.0,82,256.0,Atlanta Hawks
25.0,77,195.0,Chicago Bulls
29.0,78,205.0,Phoenix Suns
20.0,79,190.0,Utah Jazz
22.0,78,207.0,Washington Wizards
24.0,74,185.0,Orlando Magic
25.0,80,220.0,Toronto Raptors
24.0,82,250.0,Toronto Raptors
25.0,73,195.0,Phoenix Suns
26.0,75,190.0,Utah Jazz
26.0,78,224.0,Washington Wizards
33.0,74,200.0,Orlando Magic
25.0,73,180.0,Cleveland Cavaliers
21.0,77,190.0,Brooklyn Nets
29.0,75,193.0,Brooklyn Nets
24.0,75,200.0,Toronto Raptors
27.0,77,222.0,Charlotte Hornets
26.0,78,216.0,Atlanta Hawks
23.0,76,238.0,Minnesota Timberwolves
25.0,80,203.0,Portland Trail Blazers
22.0,79,195.0,Chicago Bulls
23.0,78,215.0,Los Angeles Lakers
34.0,74,195.0,Milwaukee Bucks
24.0,76,194.0,Charlotte Hornets
32.0,78,210.0,Phoenix Suns
26.0,82,265.0,Dallas Mavericks
32.0,80,245.0,New Orleans Pelicans
23.0,75,165.0,Detroit Pistons
29.0,77,214.0,Dallas Mavericks
30.0,82,225.0,Denver Nuggets
20.0,78,220.0,Brooklyn Nets
25.0,73,192.0,Cleveland Cavaliers
25.0,76,204.0,San Antonio Spurs
24.0,76,255.0,Houston Rockets
26.0,72,202.0,Miami Heat
23.0,81,265.0,Brooklyn Nets
